,sentence,field,form_subj,lemma_subj,form_verb,lemma_verb,form_obj,lemma_obj,clean
21,"1944 bytte Björkvallsflyg namn till Skandinavisk Aero och när SAS övertog bolaget 1948, avskedades de flesta av piloterna.",прятать,björkvallsflyg,björkvallsflyg,bytte,byta,namn,namn,True
22,1946 bytte man namn till Atlanta Municipal Airport. 1981 bytte man till Hartsfield Atlanta International Airport efter att ha byggt till ytterligare terminalbyggnader.,прятать,man,man,bytte,byta,namn,namn,True
23,1957 kom TV-verksamheten igång på allvar med sändningar nästan varje dag och Radiotjänst bytte namn till Sveriges Radio i samband med bolagsstämman i oktober.,прятать,verksamheten,verksamhet,bytte,byta,namn,namn,True
24,1960 bytte företaget namn till ARE.,прятать,företaget,företag,bytte,byta,namn,namn,True
25,"1961-1971: Davy Jones 1961 bytte serien namn ännu en gång, då äventyraren och seglaren ""Davy Jones"" tog över rampljuset.",прятать,davy,davy,bytte,byta,gång,gång,True
26,"1961-1971: Davy Jones 1961 bytte serien namn ännu en gång, då äventyraren och seglaren ""Davy Jones"" tog över rampljuset.",прятать,namn,namn,bytte,byta,gång,gång,True
27,1965 bytte det namn till Aktiebolaget Ätrakraft och senare samma år gick bolagen samman.,прятать,det,en,bytte,byta,namn,namn,True
28,1967 bytte partiet namn från SKP till Vänsterpartiet Kommunisterna (VPK).,прятать,partiet,parti,bytte,byta,namn,namn,True
29,1969 flyttade han till Ånge där han växlade författaryrket med att arbeta som lärare.,прятать,han,han,växlade,växla,författaryrket,författaryrk,True
30,1972 bytte Beat-Club namn till Musikladen.,прятать,club,club,bytte,byta,namn,namn,True
31,1973 bytte företaget namn till Exxon Corporation och dess bensinmackar började använda varumärket Exxon i hela USA.,прятать,företaget,företag,bytte,byta,namn,namn,True
32,1973 bytte KFML namn till Sveriges Kommunistiska Parti - SKP.,прятать,kfml,kfml,bytte,byta,namn,namn,True
33,1973 bytte partiet namn till Sveriges kommunistiska parti (SKP).,прятать,partiet,parti,bytte,byta,namn,namn,True
34,1979 bytte därför ÖEAB namn till Jämtlandskraft AB (JKAB).,прятать,öeab,öeab,bytte,byta,namn,namn,True
35,1980 bytte ligan namn till South Atlantic League.,прятать,ligan,liga,bytte,byta,namn,namn,True
36,1980-talet och bredare publik Willy DeVille bytte ut sina musiker och gick över till Atlantic Records med LP :n Coup de Grâce 1981.,прятать,willy,willy,bytte,byta,musiker,musik,True
37,1982 bytte man namn till Austin Rover Group vilket 1986 kortades ner till Rover Group. 1988 köpte British Aerospace Rover och 1994 BMW.,прятать,man,man,bytte,byta,namn,namn,True
38,"1983 ändrade stammen sin grundlag och bytte namn från ""Nez Perce Tribe of Idaho"" till enbart ""Nez Perce Tribe"".",прятать,stammen,stam,bytte,byta,namn,namn,True
39,1986 Modellen byter namn till PZ480K och det var i princip samma snöskoter som J-modellen förutom dekalförändringar.,прятать,modellen,modell,byter,byta,namn,namn,True
40,1989 bytte företaget namn till Entrappa AB och fick en bredare inriktning.,прятать,företaget,företag,bytte,byta,namn,namn,True
41,1990 bytte bolaget namn till Autokaross i Floby AB.,прятать,bolaget,bolag,bytte,byta,namn,namn,True
42,1993 ändrade man till två Division I -serier med 14 lag i varje.,прятать,man,man,ändrade,ändra,serier,serie,True
43,1994 blev Post- och televerket ett aktiebolag som bytte namn till PT Finland.,прятать,som,som,bytte,byta,namn,namn,True
44,1994 bytte tidningen namn till Stock Magazine.,прятать,tidningen,tidning,bytte,byta,namn,namn,True
45,"1997 bytte klubben namn till Syracuse SkyChiefs, men efter tio år bytte man tillbaka till det gamla namnet igen.",прятать,klubben,klubb,bytte,byta,namn,namn,True
46,"1999 bytte bandet under kort tid namn till Plan 9, men sent 2001 bytte man, efter ihärdiga ändringar av medlemmar tillbaka till Breaking Benjamin.",прятать,bandet,bande,bytte,byta,namn,namn,True
47,1999 bytte man namn från Vauxhall GM till nuvarande namn.,прятать,man,man,bytte,byta,namn,namn,True
48,1 oktober 1991 bytte den namn till Arbetet Nyheterna.,прятать,namn,namn,bytte,byta,nyheterna,nyheter,True
49,2002 bytte bandet namn till Seether.,прятать,bandet,bande,bytte,byta,namn,namn,True
50,"2003 medförde inte några större förändringar, förutom att man helt förändrade webbplatsen utseende och upplägg, så att man nu där samlade databasen med alla gamla artiklar, istället för på adressen historia.",прятать,man,man,förändrade,förändra,webbplatsen,webbplatsen,True
51,2005 sålde DaimlerChrysler MTU till EQT som bytte namn på företaget till Tognum och börsnoterade det på Frankfurtbörsen i juli 2007.,прятать,som,som,bytte,byta,namn,namn,True
52,"2006 bytte bolaget namn till Gothia Förlag AB, och året därpå bytte Verbum AB namn till Berling Media AB.",прятать,bolaget,bolag,bytte,byta,namn,namn,True
53,"2006 bytte bolaget namn till Gothia Förlag AB, och året därpå bytte Verbum AB namn till Berling Media AB.",прятать,verbum,verbum,bytte,byta,namn,namn,True
54,2006 bytte de namn från Mighty Ducks of Anaheim till Anaheim Ducks och lanserade ny logga och matchställ.,прятать,de,en,bytte,byta,namn,namn,True
55,2006 köpte Bayer AG Schering som därefter bytte namn till Bayer Schering Pharma AG och senare Bayer HealthCare Pharmaceuticals.,прятать,som,som,bytte,byta,namn,namn,True
56,2007 Bacou-Dalloz byter namn till Sperian Protection.,прятать,bacou,bacou,byter,byta,namn,namn,True
57,2009 Karpin-Galicia bytte namn till Xacobeo-Galicia under säsongen 2008 och fortsatte att ha det namnet under säsongen 2009.,прятать,karpin,karpin,bytte,byta,namn,namn,True
58,2010–2012 Aregawis första seniorsäsong 2010 bytte hon gren till 1 500 meter.,прятать,hon,hon,bytte,byta,gren,gr,True
59,"2011– Den 12 september bytte TV4 Plus namn på kanalen till Sjuan, och nya grafiska profiler infördes.",прятать,september,september,bytte,byta,namn,namn,True
60,2011: Domstolen bytte namn till Högsta förvaltningsdomstolen.,прятать,domstolen,domstol,bytte,byta,namn,namn,True
61,2012 Gilbert bytte lag till BMC Racing Team inför säsongen 2012.,прятать,gilbert,gilbert,bytte,byta,lag,lag,True
62,"2012 omnämnde President Clinton priset i TIME magazine :s artikel om ""de 5 bästa idéerna som förändrar världen till det bättre"".",прятать,som,som,förändrar,förändra,världen,värld,True
63,"2015 bytte ligan namn till National League och divisionerna till National League, National League North och National League South.",прятать,ligan,liga,bytte,byta,namn,namn,True
64,"2015 bytte ligan namn till National League och divisionerna till National League, National League North och National League South.",прятать,league,league,bytte,byta,namn,namn,True
65,"2016 Koncernen byter namn till Telia Company AB, som ett nytt varumärkesbyggande efter ett beslut som togs 2015 att lämna eurasien efter de kontroversiella händelserna där.",прятать,koncernen,koncern,byter,byta,namn,namn,True
66,2 2007 hade siffran ändrat till 67 600 polisanmälda cykelstölder med cirka 600 misstänkta.,прятать,siffran,siffra,ändrat,ändra,cykelstölder,cykelstöld,True
67,Aaron Axelsen på Live 105 ansåg att anledningen till The Offsprings framgångar med Americana var att trots att de hade ändrat sin musikaliska stil behöll de fortfarande sina rötter inom punkrocken på ett välbalanserat sätt.,прятать,de,de,ändrat,ändra,stil,stil,True
68,"Accelerationen är skild från noll endast, när hastigheten ändrar sig.",прятать,hastigheten,hastighet,ändrar,ändra,sig,sig,True
69,"Adlad år 1876, ändrade han sitt efternamn från Williams till Monier-Williams år 1887.",прятать,han,han,ändrade,ändra,efternamn,efternamn,True
70,Administrativ historik Församlingen bildades den 1 januari 1962 genom en utbrytning ur Karlstads församling (som samtidigt bytte namn till Karlstads domkyrkoförsamling).,прятать,som,som,bytte,byta,namn,namn,True
71,Administrativ historik Västra Stenbys socken har medeltida ursprung under namnet Kälvestens socken. 1813 införlivades Stens socken samtidigt som socknen bytte namn till det nuvarande.,прятать,socknen,sockn,bytte,byta,namn,namn,True
72,"Aktiespararna har begärt omprövning av beslutet i ARN, inte för att vi tror att de kommer att ändra sig, men för att vi vill ha en motivering till varför det krävs muntligt bevisning i just det här fallet.",прятать,de,de,ändra,ändra,sig,sig,True
73,Albert Einsteins allmänna relativitetsteori 1915 förändrade detta.,прятать,relativitetsteori,relativitetsteori,förändrade,förändra,detta,denna,True
74,"Albumet anses ofta att det var med detta skivsläpp som bandet bytte riktning, eftersom Enslaved lade till olika element av progressiv rock, som senare följt med till de senare albumen.",прятать,bandet,bande,bytte,byta,riktning,riktning,True
75,"""Alla som vet vad Spaniens huvudstad heter byter plats som zombies"".",прятать,heter,heter,byter,byta,vad,vad,True
76,Alla typer av ledare förändrar sin resistans då de utsätts för mekanisk påverkan.,прятать,typer,typ,förändrar,förändra,resistans,resistans,True
77,Allt blir två till tre gånger dyrare samma dag som man byter valuta.,прятать,man,man,byter,byta,valuta,valuta,True
78,Allt filmas och stämningen är munter när man bland annat byter till sig en värphöna mot ett paket cigaretter och hittar en liten skatt i form av fullt drickbar vermouth i ett vrak från andra världskriget.,прятать,man,man,byter,byta,värphöna,värphöe,True
79,Álvarez förändrade dokumentärfilmen på Kuba genom att använda rytmiska montage av olikartade bild och ljudelement i undervisande eller agitatoriskt syfte.,прятать,álvarez,álvarez,förändrade,förändra,dokumentärfilmen,dokumentärfilm,True
80,Hon bytte namn till Emily Thorne och flyttade till Hamptons för att utkräva hämnd.,прятать,hon,hon,bytte,byta,namn,namn,True
81,"America West Airlines som hade valt Pratt & Whitney -motorernas, ändrade sina A318-beställningar till A319- eller A320-flygplan.",прятать,whitney,whitney,ändrade,ändra,a,a,True
82,"Amos börjar uppvakta Hildur, som är dotter till Blom och först anser han det omöjligt att umgås med henne på grund av detta, men så småningom ändrar han sig och de blir också ett par.",прятать,han,han,ändrar,ändra,sig,sig,True
83,Andra gardesregementet bytte först namn till Konungens Göta gardesregemente och därefter år 1803 till Svenska gardesregementet.,прятать,gardesregementet,gardesregement,bytte,byta,namn,namn,True
84,Andra världskriget ändrade dock företagets inriktning.,прятать,världskriget,världskrig,ändrade,ändra,inriktning,inriktning,True
85,Andra världskriget ändrade företagets inriktning.,прятать,världskriget,världskrig,ändrade,ändra,inriktning,inriktning,True
86,Ändringar i texten Brian Wilson ändrade texten i tre rader.,прятать,ändringar,ändring,ändrade,ändra,texten,text,True
87,"Änggård efterträddes 1985 av professor Gösta Berglund vid Uppsala universitets pedagogiska institution, Då bytte projektet också namn till Swedate (Swedish Drug Addict Treatment Evaluation).",прятать,projektet,projekt,bytte,byta,namn,namn,True
88,"Anläggningen bytte efter en rejäl ansiktslyftning namnet till ""Filmstaden Söder"", samtidigt som man stängde det 6-salongers komplex som hetat ""Filmstaden Söder"" och legat på norra sidan om Söderhallarna.",прятать,anläggningen,anläggning,bytte,byta,namnet,namn,True
89,"Anledningen till detta kan vara de lösare restriktioner på kinesers privatliv under Deng Xiaopings regeringstid, vilket gjort att allt fler kineser kan byta jobb eller flytta, och umgås med många fler olika personer efter eget val.",прятать,kineser,kines,byta,byta,jobb,jobb,True
90,"Anna, som ursprungligen henne Konstantia, bytte namn vid vigseln.",прятать,konstantia,konstantia,bytte,byta,namn,namn,True
91,Antifascism och antistalinism Efter sammanslagning med en mycket stor socialdemokratisk utbrytning i Göteborg under Albin Ström bytte partiet namn till Socialistiska partiet.,прятать,antifascism,antifascism,bytte,byta,partiet,parti,True
92,Användande Exempel: chmod +rw fil.txt chmod ändrar flaggorna för filen fil.txt till läsa och skriva för alla.,прятать,chmod,chmod,ändrar,ändra,flaggorna,flagga,True
93,Användning För att komma till rätta med felsändningarna byter man från fast rate till interleave rate.,прятать,man,man,byter,byta,användning,användning,True
94,"År 1762, samtidigt som regementet bytte namn till Prins Fredrik Adolfs värvade infanteriregemente, fördes det åter över till i Finland där det blev kvar.",прятать,regementet,regemente,bytte,byta,namn,namn,True
95,År 1790 trädde Umeåköpmannen Zachris Åberg in som intressent jämte sin svåger Mårten Grahn och firman bytte namn till Åberg & Grahn.,прятать,firman,firman,bytte,byta,namn,namn,True
96,År 1818 bytte man takspånen på kyrktaket mot tegel och 1894 byttes det mot rödmålad plåt.,прятать,man,man,bytte,byta,takspånen,takspåne,True
97,År 1870 öppnade Riegerts chokladfabrik som senare bytte namn till Laima - i lettisk folktro är Laima lyckans gudomliga väsen.,прятать,som,som,bytte,byta,namn,namn,True
98,År 1895 bytte det namn till Kungliga Patent- och registreringsverket (PRV) i samband med att en ny aktiebolagslag antogs.,прятать,det,en,bytte,byta,namn,namn,True
99,"År 1905 bytte regementet namn till Smålands artilleriregemente (No 6), och 1914 erhöll regementet beteckningen A 6.",прятать,regementet,regemente,bytte,byta,namn,namn,True
100,År 1909 bytte skolan namn till the New York School of Fine and Applied Art.,прятать,skolan,skola,bytte,byta,namn,namn,True
101,"År 1910, hade gruppen utökats med deras mor och deras moster Hannah, och gruppen bytte namn till The Six Mascots.",прятать,gruppen,grupp,bytte,byta,namn,namn,True
102,År 1919 bytte brandkåren namn till Haga Frivilliga Brandkår.,прятать,brandkåren,brandkår,bytte,byta,namn,namn,True
103,År 1922 ändrade man detta till tre generationer.,прятать,man,man,ändrade,ändra,detta,denna,True
104,År 1930 bytte partiet officiellt namn till USA:s kommunistiska parti.,прятать,partiet,parti,bytte,byta,namn,namn,True
105,År 1933 började Nintendo samarbeta med ett annat företag och då ändrade Sekiryo Yamauchi företagets namn till Yamauchi Nintendo and Company.,прятать,sekiryo,sekiryo,ändrade,ändra,namn,namn,True
106,År 1942 bytte skidlöparbataljonen namn till jägarbataljonen som senare utvecklades till kårjägarbataljoner och detachmentstab med självständiga jägarplutoner (kallades senare för fristående jägarkompanier).,прятать,skidlöparbataljonen,skidlöparbataljon,bytte,byta,namn,namn,True
107,År 1947 ändrade företaget namn till Nymanbolagen och det populära cykelmärket Crescent blev med tiden dess huvudmärke då den viktiga tävlingsverksamheten koncentrerades till detta märke.,прятать,företaget,företag,ändrade,ändra,namn,namn,True
108,År 1954 bytte man namn till Salemkyrkan.,прятать,man,man,bytte,byta,namn,namn,True
109,"År 1957 bytte Våra Pojkar och Våra Flickor namn och blev istället SMU Scout, dock fortfarande uppdelat i pojk- och flicksektioner.",прятать,pojkar,pojke,bytte,byta,namn,namn,True
110,År 1961 bytte skolan namn till Infanteriets officersaspirantskola.,прятать,skolan,skola,bytte,byta,namn,namn,True
111,År 1973 bytte företaget namn till Kemetyl.,прятать,företaget,företag,bytte,byta,namn,namn,True
112,"År 1975 bildades ""Företagareföreningen Mölndals Centrum"", som 1976 bytte namn till ""Företagareföreningen Mölndals Bro.""",прятать,som,som,bytte,byta,namn,namn,True
113,"År 1981 bytte man namn till Dialekt-, ortnamns- och folkminnesarkivet i Göteborg.",прятать,man,man,bytte,byta,namn,namn,True
114,År 1990 bytte man namn från Hiab-Foco till Hiab.,прятать,man,man,bytte,byta,namn,namn,True
115,År 1993 bytte Handikappförbundens Centralkommitté namn till Handikappförbundens samarbetsorgan.,прятать,centralkommitté,centralkommitté,bytte,byta,namn,namn,True
116,År 1998 bytte ligan namn till K League.,прятать,ligan,liga,bytte,byta,namn,namn,True
117,År 1999 bytte företaget namn till IKARUSBUS på grund av namnkonflikter med en serbisk flygplanstillverkare.,прятать,företaget,företag,bytte,byta,namn,namn,True
118,År 2000 bytte Åhlén & Åkerlunds förlag namn till Bonnier tidskrifter.,прятать,åhlén,åhlén,bytte,byta,namn,namn,True
119,År 2000 bytte Åhlén & Åkerlunds förlag namn till Bonnier tidskrifter.,прятать,förlag,förlag,bytte,byta,namn,namn,True
120,År 2000 bytte Åhlén & Åkerlunds förlag namn till Bonnier tidskrifter.,прятать,tidskrifter,tidskrift,bytte,byta,namn,namn,True
121,"År 2000 gjordes en gränsändring, varvid kretsarna Schiers och Seewis överfördes från Unterlandquart (som samtidigt bytte namn till Landquart ) till Oberlandquart (som bytte namn till Prättigau-Davos).",прятать,som,som,bytte,byta,namn,namn,True
122,"År 2000 gjordes en gränsändring, varvid kretsarna Schiers och Seewis överfördes från Unterlandquart (som samtidigt bytte namn till Landquart ) till Oberlandquart (som bytte namn till Prättigau-Davos).",прятать,som,som,bytte,byta,namn,namn,True
123,År 2001 bytte han klubb till Arsenal och hans övergång blev uppmärksammad eftersom många supportrar ansåg att han svek Tottenham.,прятать,han,han,bytte,byta,klubb,klubb,True
124,"År 2001 i oktober bytte bandet namn till det nuvarande, Kutless.",прятать,år,år,bytte,byta,namn,namn,True
125,"År 2001 i oktober bytte bandet namn till det nuvarande, Kutless.",прятать,bandet,bande,bytte,byta,namn,namn,True
126,"År 2002 ändrade bolaget namn till Amfa Finans AB som är en förkortning av American Factoring, detta eftersom det är en amerikansk affärsidé.",прятать,bolaget,bolag,ändrade,ändra,namn,namn,True
127,"År 2002 ändrade bolaget namn till Amfa Finans AB som är en förkortning av American Factoring, detta eftersom det är en amerikansk affärsidé.",прятать,ab,ab,ändrade,ändra,namn,namn,True
128,År 2003 bytte 1.Fskjkomp namn till FJS Insatskompani (FJS IK) som frikopplades ifrån fallskärmsjägarbataljonen och underställdes Specialförbandsledningen (SFL) tillsammans med Särskilda Skyddsgruppen (SSG).,прятать,1.fskjkomp,1.fskjkomp,bytte,byta,namn,namn,True
129,År 2004 bytte bolaget bolagsform från statsföretag (no.,прятать,bolaget,bolag,bytte,byta,bolagsform,bolagsform,True
130,År 2007 bytte CCRTV till sitt nuvarande namn – Corporació Catalana de Mitjans Audiovisuals (CCMA).,прятать,2007,2007,bytte,byta,ccrtv,ccrtv,True
131,"År 2008 bytte företaget namn till Exide Technologies AB, men namnet ""Tudor"" finns kvar som ett registrerat varumärke på olika blybatteri-produkter.",прятать,företaget,företag,bytte,byta,namn,namn,True
132,År 2009 bytte företaget namn till Klarna.,прятать,företaget,företag,bytte,byta,namn,namn,True
133,År 2009 invigdes en ny kryssningsterminal för de internationella kryssningsfartygen som byter passagerare i Stockholm.,прятать,som,som,byter,byta,passagerare,passagerare,True
134,År 2010 bytte Peter Karlsson klubb till Örnarna.,прятать,peter,pet,bytte,byta,klubb,klubb,True
135,År 2011 bytte partiet namn från Frisinnad Samverkan till Moderaterna Åland.,прятать,partiet,parti,bytte,byta,namn,namn,True
136,"Aragorn ger henne Barahirs ring, och de växlar tro och loven på Cerin Amroths kulle.",прятать,de,de,växlar,växla,tro,tro,True
137,"Aragorn ger henne Barahirs ring, och de växlar tro och loven på Cerin Amroths kulle.",прятать,kulle,kulle,växlar,växla,tro,tro,True
138,Arakidonsyra utsöndras från cellmembranet ifråga medan något av enzymerna COX1 och COX2 förändrar det till en prostaglandin.,прятать,något,någon,förändrar,förändra,det,den,True
139,Arbetet med den hade förändrat stadsbilden radikalt.,прятать,arbetet,arbete,förändrat,förändra,stadsbilden,stadsbilden,True
140,Arbetet med Postal inleddes officiellt då företaget bytte namn till Running with Scissors.,прятать,företaget,företag,bytte,byta,namn,namn,True
141,Åren 1994–2002 marknadsförde sig HV71 under namnet Blue Bulls och bytte även då logotyp två gånger.,прятать,logotyp,logotyp,bytte,byta,gånger,gång,True
142,Arenan bytte namn från Wachovia Center inför säsongen 2010-2011.,прятать,arenan,arena,bytte,byta,namn,namn,True
143,Året därpå bytte han stall till Ian Walker Racing och körde en Lotus i Formel Junior.,прятать,han,han,bytte,byta,stall,stall,True
144,Året efter ändrade han sitt efternamn från Smith till Rhett.,прятать,han,han,ändrade,ändra,efternamn,efternamn,True
145,"Ärkebiskopen i Salzburg satte sig dock emot, och Seckaus stift förblev ett vanligt stift som inte heller bytte namn efter flytten av biskopssätet.",прятать,som,som,bytte,byta,namn,namn,True
146,Armén bytte namn till 12.,прятать,armén,armé,bytte,byta,namn,namn,True
147,"Asco köpte sedan fabriken i Jung av Asea och döpte om den från Asea Cylinda till Asco Cylinda, för att sedan i september 2008 åter byta namn till det nuvarande Asko Appliances AB.",прятать,åter,åter,byta,byta,namn,namn,True
148,"Ash-Shāfi‘ī använde helt enkelt samma termer som ra’y folket gjort men med skillnaden att han ändrade betydelsen, till exempel att ordet sunna som betyder sed endast syftade till Profetens sunna.",прятать,han,han,ändrade,ändra,betydelsen,betydelse,True
149,"Åter i Sverige grundade han 1950 företaget Aeroscandia, som från augusti samma år bytte namn till Air Torvald Andersson & Co Airtaco.",прятать,som,som,bytte,byta,namn,namn,True
150,"Atlantis: Det försvunna riket bytte ut stillbilderna mot panoraman vilket förstärkte illusionen av att man fritt gick omkring i ett fotorealistiskt 3D-landskap, spel som Journeyman Project 3.",прятать,riket,rike,bytte,byta,stillbilderna,stillbild,True
151,Att använda för många hjälplinjer gör musiken svårläst och man bör då byta klav eller använda en oktavmarkering.,прятать,man,man,byta,byta,klav,klav,True
152,Att man samtidigt bytte de grå detaljerna på tak och botten mot grönt reagerade dock ingen på.,прятать,man,man,bytte,byta,detaljerna,detalj,True
153,"Även det isländska Framstegspartiet har varit motståndare till ett EU-medlemskap, med undantag för en kort period under januari 2009 då partiet ändrade åsikt till följd av finanskrisens effekter på landet.",прятать,partiet,parti,ändrade,ändra,åsikt,åsikt,True
155,Även ibrik kommer från turkiskan som förändrat det persiska sammansatta ordet för vatten och kopp.,прятать,som,som,förändrat,förändra,ordet,ord,True
156,"Även matningen till banan byter därför frekvens inte mindre än tre gånger och samtliga tågtyper som trafikerer banan (E2, E7 och W7) klarar därför båda dessa system.",прятать,matningen,matning,byter,byta,frekvens,frekvens,True
157,Även Michelingubben bytte först färg till svart men av trycktekniska skäl återställdes den ljusa färgen.,прятать,michelingubben,michelingubb,bytte,byta,färg,färg,True
158,"Även om han senare bytte parti, liknade hans politiska målsättningar även som guvernör den politik han tidigare hade bedrivit som federalist.",прятать,han,han,bytte,byta,parti,parti,True
159,"Även om människan ofta försöker göra gott, och vi kan förändra världen till det bättre, innebär denna syn att kristdemokratin förkastar möjligheten att uppnå en utopi, och håller sig därmed inte heller med en sådan.",прятать,vi,vi,förändra,förändra,världen,värld,True
160,Även själva affärssystemet har bytt namn från Agresso Business World till Unit4 Business World.,прятать,affärssystemet,affärssystem,bytt,byta,namn,namn,True
161,Även Stortorget skulle byta skepnad och ett nytt råd- och börshus var planerat.,прятать,stortorget,stortorget,byta,byta,skepnad,skepnad,True
162,Av juridiska skäl ändrade man det till en dotter i filmen.,прятать,man,man,ändrade,ändra,det,den,True
163,Av någon anledning ändrade de i samma veva även bild på själva omslaget till singeln som nu såg helt annorlunda ut.,прятать,de,de,ändrade,ändra,bild,bild,True
164,"Av okända skäl återvände Kusch redan året därpå till hemlandet, där han blott 28-årig bytte fotbollen mot universitetsstudier.",прятать,han,han,bytte,byta,fotbollen,fotboll,True
165,Avreglering inom den finansiella sektorn och IT-vågen under 1990-talet har återigen förändrat Reykjavik.,прятать,vågen,våg,förändrat,förändra,reykjavik,reykjavik,True
166,Avreglering inom den finansiella sektorn och IT-vågen under 1990-talet har återigen förändrat Reykjavik.,прятать,talet,tale,förändrat,förändra,reykjavik,reykjavik,True
167,Båda farkosterna sändes ut för att undersöka planeter i solsystemet och sände tillbaka bilder och mätdata som helt har förändrat synen på jordens grannplaneter.,прятать,som,som,förändrat,förändra,synen,syn,True
168,"Bandet ändrade samtidigt namn till Red Hot Chili Peppers, som hade utvecklats från Louis Armstrong and his Hot Five och andra namn som innehöll orden ""Red Hot"" och ""Chili"".",прятать,bandet,bande,ändrade,ändra,namn,namn,True
169,Bandet bildades 2005 under namnet Casual Breakdown och gav ut 3 demos innan de bytte namn till Adjusted och startade det egna skivbolaget Precore Productions.,прятать,de,de,bytte,byta,namn,namn,True
170,Bandet bytte därefter namn till Shield eftersom det sedan tidigare fanns flera andra musikakter med namnet Solitude och man ville inte förväxlas med dessa. 1994 släpptes debut-EP:n Build Me Up..,прятать,bandet,bande,bytte,byta,namn,namn,True
171,Bandet bytte namn till Electric Elves som senare blev till Elf (1970-1975).,прятать,bandet,bande,bytte,byta,namn,namn,True
172,"Bandet bytte namn till Mobile, sen The Mob och slutligen Savoy, innan konstellationen upphörde 1983.",прятать,bandet,bande,bytte,byta,namn,namn,True
173,Bandet bytte nu också namn från Svartalv till Undivine.,прятать,bandet,bande,bytte,byta,namn,namn,True
